REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
GIN,Guinea,2025,0.247894,0.271701,0.307554,0.634673,0.346116
GIN,Guinea,2026,0.249477,0.271392,0.314236,0.651906,0.351631
GIN,Guinea,2027,0.251061,0.271082,0.320917,0.669139,0.357146
GUY,Guyana,2024,0.239675,0.30222,0.360285,0.617396,0.361008
GUY,Guyana,2025,0.241548,0.301513,0.363497,0.634676,0.365652
GUY,Guyana,2026,0.243417,0.300808,0.3667,0.651909,0.370284
GUY,Guyana,2027,0.245285,0.300104,0.369904,0.669141,0.374915
HTI,Haiti,2024,0.269067,0.289707,0.310896,0.617344,0.35434
HTI,Haiti,2025,0.271515,0.291061,0.313601,0.63462,0.359544
HTI,Haiti,2026,0.273955,0.29241,0.316298,0.65185,0.364734
HTI,Haiti,2027,0.276396,0.29376,0.318995,0.66908,0.369924
HND,Honduras,2024,0.289626,0.423954,0.365739,0.617527,0.407817
HND,Honduras,2025,0.293026,0.426482,0.367748,0.634812,0.413428
HND,Honduras,2026,0.296417,0.429003,0.369752,0.65205,0.419024
HND,Honduras,2027,0.299807,0.431524,0.371755,0.669287,0.424619
HKG,"Hong Kong SAR, China",2024,0.225265,0.565294,0.382522,0.630179,0.43057
HKG,"Hong Kong SAR, China",2025,0.227466,0.570435,0.383591,0.647726,0.436292
HKG,"Hong Kong SAR, China",2026,0.22966,0.575563,0.384657,0.665224,0.441998
HKG,"Hong Kong SAR, China",2027,0.231855,0.58069,0.385723,0.682722,0.447704
HUN,Hungary,2024,0.228946,0.399741,0.465013,0.619753,0.408823
HUN,Hungary,2025,0.231101,0.404987,0.465125,0.639483,0.414755
HUN,Hungary,2026,0.23325,0.410219,0.465237,0.659159,0.420671
HUN,Hungary,2027,0.2354,0.41545,0.465348,0.678834,0.426586
ISL,Iceland,2024,0.22599,0.405905,0.296808,0.619788,0.367433
ISL,Iceland,2025,0.226534,0.402905,0.296466,0.633468,0.369496
ISL,Iceland,2026,0.227076,0.399913,0.296123,0.64711,0.371554
ISL,Iceland,2027,0.227618,0.396922,0.295781,0.660753,0.373612
IND,India,2024,0.317467,0.378025,0.42439,0.649545,0.425753
IND,India,2025,0.319378,0.382224,0.427766,0.667672,0.431845
IND,India,2026,0.321283,0.386412,0.431132,0.685749,0.437921
IND,India,2027,0.323188,0.3906,0.434499,0.703827,0.443996
IDN,Indonesia,2024,0.261882,0.34854,0.387667,0.605887,0.383794
IDN,Indonesia,2025,0.263519,0.35036,0.386707,0.622764,0.387875
IDN,Indonesia,2026,0.265152,0.352174,0.385749,0.639594,0.391945
IDN,Indonesia,2027,0.266785,0.353989,0.384792,0.656425,0.396016
IRN,"Iran, Islamic Rep.",2024,0.374855,0.450056,0.428998,0.617975,0.455815
IRN,"Iran, Islamic Rep.",2025,0.382952,0.457314,0.429846,0.635252,0.463726
IRN,"Iran, Islamic Rep.",2026,0.391027,0.464551,0.430693,0.652483,0.471616
IRN,"Iran, Islamic Rep.",2027,0.399101,0.471789,0.431539,0.669713,0.479505
IRQ,Iraq,2024,0.223673,0.36401,0.42056,0.618606,0.386965
IRQ,Iraq,2025,0.224571,0.366732,0.423965,0.635912,0.392228
IRQ,Iraq,2026,0.225467,0.369447,0.427361,0.653171,0.397476
IRQ,Iraq,2027,0.226363,0.372162,0.430757,0.67043,0.402724
IRL,Ireland,2024,0.2639,0.381744,0.545195,0.73713,0.458331
IRL,Ireland,2025,0.264803,0.372919,0.549148,0.757042,0.461366
IRL,Ireland,2026,0.265704,0.364119,0.553089,0.776901,0.464393
IRL,Ireland,2027,0.266605,0.355318,0.557031,0.796759,0.467421
IMN,Isle of Man,2024,0.225265,0.34624,0.272506,0.617584,0.345783
IMN,Isle of Man,2025,0.227466,0.349503,0.269099,0.634866,0.349863
IMN,Isle of Man,2026,0.22966,0.352756,0.265701,0.652102,0.353933
IMN,Isle of Man,2027,0.231855,0.356009,0.262304,0.669337,0.358002
ISR,Israel,2024,0.225541,0.37287,0.380348,0.627949,0.381557
ISR,Israel,2025,0.228249,0.374013,0.379212,0.645593,0.385899
ISR,Israel,2026,0.230949,0.375152,0.378078,0.663189,0.39023
ISR,Israel,2027,0.233649,0.376292,0.376945,0.680784,0.394561
ITA,Italy,2024,0.234053,0.37179,0.428867,0.643954,0.399171
ITA,Italy,2025,0.235682,0.37278,0.428317,0.662745,0.403528
ITA,Italy,2026,0.237306,0.373767,0.427769,0.681484,0.407873
ITA,Italy,2027,0.23893,0.374754,0.427221,0.700223,0.412217
JAM,Jamaica,2024,0.271933,0.374231,0.275794,0.617552,0.367597
JAM,Jamaica,2025,0.27419,0.377087,0.276068,0.634832,0.372512
JAM,Jamaica,2026,0.276442,0.379935,0.276341,0.652065,0.377415
JAM,Jamaica,2027,0.278693,0.382784,0.276613,0.669299,0.382317
JPN,Japan,2024,0.280422,0.54639,0.4288,0.691526,0.466229
JPN,Japan,2025,0.280113,0.55197,0.425477,0.711203,0.470636
JPN,Japan,2026,0.279804,0.557535,0.422164,0.730827,0.475031
JPN,Japan,2027,0.279495,0.5631,0.418851,0.75045,0.479426
KAZ,Kazakhstan,2024,0.224104,0.37448,0.324368,0.582475,0.358438
KAZ,Kazakhstan,2025,0.225972,0.377368,0.32331,0.598688,0.362699
KAZ,Kazakhstan,2026,0.227836,0.380248,0.322255,0.614857,0.366948
KAZ,Kazakhstan,2027,0.229699,0.383129,0.3212,0.631026,0.371197
KEN,Kenya,2024,0.23687,0.363967,0.260485,0.617609,0.350696
KEN,Kenya,2025,0.238945,0.367411,0.264697,0.634895,0.35669
KEN,Kenya,2026,0.241015,0.370846,0.268898,0.652134,0.362667
KEN,Kenya,2027,0.243086,0.37428,0.273099,0.669373,0.368645
KIR,Kiribati,2024,0.234525,0.403636,0.263743,0.617295,0.360661
KIR,Kiribati,2025,0.236531,0.408931,0.26482,0.634572,0.366312
KIR,Kiribati,2026,0.238532,0.414212,0.265895,0.651802,0.371947
KIR,Kiribati,2027,0.240532,0.419492,0.266969,0.669032,0.377582
PRK,"Korea, Dem. People's Rep.",2024,0.225135,0.34624,0.253916,0.617584,0.341096
PRK,"Korea, Dem. People's Rep.",2025,0.227336,0.349503,0.250272,0.634866,0.345118
PRK,"Korea, Dem. People's Rep.",2026,0.229531,0.352756,0.246638,0.652102,0.349128
PRK,"Korea, Dem. People's Rep.",2027,0.231726,0.356009,0.243004,0.669337,0.353138
KOR,"Korea, Rep.",2024,0.272192,0.526496,0.476781,0.616465,0.45577
KOR,"Korea, Rep.",2025,0.274627,0.53196,0.477038,0.633428,0.461323
KOR,"Korea, Rep.",2026,0.277055,0.53741,0.477293,0.650346,0.466862
KOR,"Korea, Rep.",2027,0.279483,0.54286,0.477549,0.667263,0.4724
KWT,Kuwait,2024,0.227388,0.29229,0.398958,0.619434,0.364915
