country,year,composite_v1,composite_v2,tier_v1,tier_v2
Lebanon,2025,0.40039955,0.538654658,High,High
Lebanon,2026,0.4050373,0.550499968,High,High
Lebanon,2027,0.40967485,0.56234462,High,High
Lesotho,2024,0.36499775,0.508711046,High,High
Lesotho,2025,0.3693058,0.52050623,High,High
Lesotho,2026,0.3736022,0.5322693019999999,High,High
Lesotho,2027,0.37789855,0.544032368,High,High
Liberia,2024,0.3171284,0.49022522199999996,Medium,High
Liberia,2025,0.3211663,0.50186522,Medium,High
Liberia,2026,0.32519329999999996,0.5134730179999999,Medium,High
Liberia,2027,0.32922025,0.525081374,Medium,High
Libya,2024,0.37244845,0.5155813599999999,High,High
Libya,2025,0.3770348,0.527502952,High,High
Libya,2026,0.38160825,0.539391364,High,High
Libya,2027,0.38618215,0.551280534,High,High
Lithuania,2024,0.39318135,0.5275695939999999,High,High
Lithuania,2025,0.3970825,0.538890256,High,High
Lithuania,2026,0.40097315,0.5501802499999999,High,High
Lithuania,2027,0.4048635,0.561470174,High,High
Luxembourg,2024,0.4115867,0.55291888,High,High
Luxembourg,2025,0.41646495,0.563953096,High,High
Luxembourg,2026,0.4213304,0.57495707,High,High
Luxembourg,2027,0.42619515,0.58596015,High,High
"Macao SAR, China",2024,0.36181215,0.514577246,Medium,High
"Macao SAR, China",2025,0.3661033,0.526508584,High,High
"Macao SAR, China",2026,0.3703825,0.5384068839999999,High,High
"Macao SAR, China",2027,0.3746622,0.5503059119999999,High,High
Madagascar,2024,0.35494970000000003,0.507441422,Medium,High
Madagascar,2025,0.360714,0.519807908,Medium,High
Madagascar,2026,0.36646235,0.532140606,High,High
Madagascar,2027,0.37221095,0.54447344,High,High
Malawi,2024,0.31068965,0.47271856399999995,Medium,High
Malawi,2025,0.31441205,0.48334378599999994,Medium,High
Malawi,2026,0.3181242,0.49394047999999996,Medium,High
Malawi,2027,0.3218364,0.504536616,Medium,High
Malaysia,2024,0.47067435,0.6095573379999999,High,High
Malaysia,2025,0.4777766,0.626535648,High,High
Malaysia,2026,0.4848596,0.6434676899999999,High,High
Malaysia,2027,0.49194205,0.6603994899999999,High,High
Maldives,2024,0.3393279,0.501763212,Medium,High
Maldives,2025,0.3434084,0.513413492,Medium,High
Maldives,2026,0.34747815000000004,0.525032788,Medium,High
Maldives,2027,0.35154715,0.5366512199999999,Medium,High
Mali,2024,0.30571170000000003,0.485021504,Medium,High
Mali,2025,0.3108786,0.497099282,Medium,High
Mali,2026,0.3160318,0.50914379,Medium,High
Mali,2027,0.3211847,0.5211887199999999,Medium,High
Marshall Islands,2024,0.38069505000000003,0.521452622,High,High
Marshall Islands,2025,0.3859865,0.5337219879999999,High,High
Marshall Islands,2026,0.3912631,0.5459571999999999,High,High
Marshall Islands,2027,0.39653995,0.5581930759999999,High,High
Mauritius,2024,0.40862465000000003,0.5786999279999999,High,High
Mauritius,2025,0.4135494,0.5930097379999999,High,High
Mauritius,2026,0.4184603,0.6072800859999999,High,High
Mauritius,2027,0.4233712,0.621550434,High,High
Mexico,2024,0.40076164999999997,0.506882438,High,High
Mexico,2025,0.405625,0.5178925379999999,High,High
Mexico,2026,0.4104749,0.528872492,High,High
Mexico,2027,0.41532505,0.539852546,High,High
"Micronesia, Fed. Sts.",2024,0.35724855,0.5098978839999999,Medium,High
"Micronesia, Fed. Sts.",2025,0.36324515,0.522360662,High,High
"Micronesia, Fed. Sts.",2026,0.36922545,0.534789542,High,High
"Micronesia, Fed. Sts.",2027,0.37520570000000003,0.547218416,High,High
Moldova,2024,0.35835475,0.5015779559999999,Medium,High
Moldova,2025,0.3615299,0.512507578,Medium,High
Moldova,2026,0.3646963,0.52340734,High,High
Moldova,2027,0.367863,0.5343072079999999,High,High
Mongolia,2024,0.3917657,0.5206277479999999,High,High
Mongolia,2025,0.3973487,0.5327479019999999,High,High
Mongolia,2026,0.4029166,0.54483451,High,High
