Country,cluster,cluster_name,score_fdi,score_banking,score_manuf,score_digital
Nicaragua,1,Tier D – Low Attractiveness,0.22411934532973934,0.29354169709770395,0.3049377140441811,0.4018639296383972
Nepal,1,Tier D – Low Attractiveness,0.2429784542082496,0.2954613212005956,0.3185555520566877,0.40187885316337746
Myanmar,1,Tier D – Low Attractiveness,0.2177158680400404,0.3114312528507076,0.28735629952792247,0.3973624029226955
Mozambique,1,Tier D – Low Attractiveness,0.2121347248126251,0.2542362254158115,0.16303805145661235,0.40208432872331473
Moldova,1,Tier D – Low Attractiveness,0.2514193584732754,0.3543775344087882,0.30272114105848164,0.39540790077138516
"Micronesia, Fed. Sts.",1,Tier D – Low Attractiveness,0.20723054500443303,0.3369529303074979,0.2227699940228303,0.40178981625536364
Mali,1,Tier D – Low Attractiveness,0.1978256095372892,0.2319358403352968,0.17418834995786178,0.4018694461657935
Maldives,1,Tier D – Low Attractiveness,0.19563372059328607,0.32053694031582153,0.27629510527573165,0.40186057825640437
Malawi,1,Tier D – Low Attractiveness,0.23009919885200167,0.31050445040185215,0.15674665125737833,0.3919783639432682
Madagascar,1,Tier D – Low Attractiveness,0.2529836209070712,0.3111059178306211,0.19591727751583443,0.4019023992860857
South Sudan,1,Tier D – Low Attractiveness,0.21851830142453973,0.2739330599838503,0.24805625272994605,0.40184327638474376
Zimbabwe,1,Tier D – Low Attractiveness,0.23048212082382158,0.3232660405545786,0.23406629615881394,0.4019075859506818
